Density,Interference,Sociality,residence_time,std_residence_time,mean_expected_consumption_rate,std_expected_consumption_rate,Replicate
5,1,0,1.000009246,0.015109351,0.873456754,0.012879295,60
5,1,0.5,1.049833814,0.017379538,0.811823879,0.013262913,51
5,1,0.5,1.049458103,0.017340667,0.813181563,0.012681601,52
5,1,0.5,1.051019891,0.017630251,0.809433606,0.01188482,53
5,1,0.5,1.050959793,0.017485629,0.810628139,0.012632582,54
5,1,0.5,1.051038961,0.017355227,0.811602629,0.013527598,55
5,1,0.5,1.050673266,0.017424344,0.812345604,0.012438758,56
5,1,0.5,1.051007274,0.017451822,0.811838688,0.012590139,57
5,1,0.5,1.051212803,0.017310967,0.809970661,0.012358127,58
5,1,0.5,1.051912314,0.017585367,0.810711335,0.012537337,59
5,1,0.5,1.049794038,0.017499826,0.81347194,0.012750795,60
5,1,1,1.093366542,0.018992705,0.697564902,0.030690424,51
5,1,1,1.091748026,0.018879576,0.699313689,0.027421368,52
5,1,1,1.092547797,0.019016297,0.694523558,0.029266371,53
5,1,1,1.090728183,0.018807754,0.697545369,0.028743764,54
5,1,1,1.091568405,0.018801713,0.701917558,0.025953146,55
5,1,1,1.091751878,0.019032523,0.698640229,0.029381071,56
5,1,1,1.092481727,0.018910049,0.699433967,0.0308065,57
5,1,1,1.09413453,0.019100126,0.695118078,0.030844558,58
5,1,1,1.096286901,0.018974431,0.689905171,0.02823575,59
5,1,1,1.093141365,0.018812501,0.694558954,0.028646189,60
0.4,0.1,0,1.039829875,0.02617237,0.895372155,0.009830827,1
0.4,0.1,0,1.040906817,0.026639883,0.893985936,0.009771123,2
0.4,0.1,0,1.039903937,0.026032268,0.894785858,0.009853569,3
0.4,0.1,0,1.040426018,0.026391307,0.893925036,0.009723488,4
0.4,0.1,0,1.041893913,0.026948245,0.892916329,0.009752404,5
0.4,0.1,0,1.040651848,0.02634144,0.894384661,0.009763252,6
0.4,0.1,0,1.041097437,0.026544374,0.893213756,0.009714464,7
0.4,0.1,0,1.041020946,0.026580193,0.893792817,0.009752888,8
0.4,0.1,0,1.041263774,0.02662124,0.894001004,0.009790008,9
0.4,0.1,0,1.041686295,0.026806092,0.893505871,0.009715236,10
0.4,0.1,0,1.040291248,0.026217758,0.895034414,0.009782127,11
0.4,0.1,0,1.040122482,0.026456056,0.894421916,0.009727064,12
0.4,0.1,0,1.040632421,0.026279147,0.894359924,0.009718193,13
0.4,0.1,0,1.040281535,0.02663293,0.894336277,0.009797826,14
0.4,0.1,0,1.041450752,0.026782972,0.89386142,0.009763752,15
