Density,Interference,Sociality,patch_value,residence_time,se
2,0.5,0,5.8,0.999545049,9.25E-06
0.4,0.5,0,8.3,1.000027302,9.65E-06
5,0.5,0,7.2,1.000594945,9.66E-06
0.4,0.5,0,6.7,0.999829718,9.80E-06
0.4,0.5,0,6.6,0.999834752,1.06E-05
2,1,0,5.7,0.999565966,1.08E-05
0.4,1,0,6.6,0.999796708,1.08E-05
2,0.5,0,5.7,0.999602936,1.12E-05
2,0.5,0,7.8,1.000190786,1.13E-05
5,1,0,7.7,1.000270374,1.16E-05
5,0.5,0,7.3,1.000701294,1.16E-05
5,1,0,4.8,0.998206499,1.18E-05
0.4,1,0,6.5,0.999808495,1.20E-05
0.4,0.5,0,6.5,0.99983813,1.24E-05
0.4,0.5,0,8.4,1.000030781,1.26E-05
0.4,0.5,0,6.4,0.999876235,1.32E-05
0.4,1,0,6.4,0.999822226,1.33E-05
2,1,0,5.6,0.999587974,1.34E-05
2,0.5,0,7.9,1.000203786,1.36E-05
2,0.5,0,5.6,0.999638326,1.36E-05
5,0.5,0,4.8,0.998659473,1.37E-05
0.4,1,0,6.3,0.99985581,1.40E-05
5,0.5,0,7.4,1.000829452,1.41E-05
2,1,0,8.3,1.000068065,1.49E-05
5,1,0,7.8,1.000367822,1.55E-05
2,1,0,8.4,1.000049306,1.56E-05
2,1,0,5.5,0.99962206,1.62E-05
2,0.5,0,5.5,0.99966965,1.64E-05
2,0.5,0,8,1.000224265,1.66E-05
0.4,0.5,0,8.6,1.000023666,1.67E-05
0.4,0.5,0,6.3,0.999835136,1.68E-05
5,0.5,0,7.5,1.00102109,1.76E-05
0.4,0.5,0,8.5,1.000045575,1.86E-05
0.4,1,0,6.2,0.999808161,1.89E-05
2,1,0,5.4,0.999677017,1.90E-05
0.4,1,0,8.7,1.000019042,1.90E-05
5,1,0,4.7,0.998226027,1.98E-05
2,0.5,0,5.4,0.999702867,2.04E-05
5,1,0,7.9,1.000473651,2.05E-05
0.4,1,0,6.1,0.999832498,2.09E-05
2,0.5,0,8.1,1.000265949,2.13E-05
0.4,0.5,0,6.2,0.999785333,2.14E-05
